Country,latitude,longitude,SiteBdDetected,SppDet,SppTested
Indonesia,-2.94145,119.27788,D,1,1
Indonesia,-6.7583,106.9417,N,0,8
Italy,42.15,14.016667,D,1,1
Italy,40.083333,16.066667,D,1,1
Italy,38.083333,15.766667,D,1,1
Italy,38.166667,15.833333,D,1,1
Italy,38.5,16.416667,D,1,1
Italy,38.733333,16.4,D,1,1
Italy,39.016667,16.583333,D,1,1
Italy,39.233333,16.166667,D,1,1
Italy,39.366667,16.6,D,1,1
Italy,40.45,15.333333,D,1,1
Italy,41.016667,15.2,D,1,1
Italy,41.266667,14.65,D,1,1
Italy,43.85,11.95,D,1,1
Italy,42.25,12.966667,D,1,1
Italy,39.133333,8.666667,N,0,1
Italy,39.133333,8.733333,N,0,1
Italy,39.183333,8.933333,N,0,1
Italy,39.2,8.516667,N,0,1
Italy,39.216667,8.55,N,0,1
Italy,39.25,9.35,N,0,1
Italy,39.25,9.383333,N,0,1
Italy,39.283333,8.466667,N,0,1
Italy,39.3,9.45,N,0,1
Italy,39.333333,8.633333,N,0,1
Italy,39.416667,8.483333,N,0,1
Italy,39.433333,8.483333,N,0,1
Italy,39.5,9.4,N,0,1
Italy,39.533333,9.6,N,0,1
Italy,39.816667,9.483333,N,0,1
Italy,39.85,9.45,N,0,1
Italy,39.883333,8.966667,N,0,1
Italy,39.916667,8.9,N,0,1
Italy,40.016667,9.683333,N,0,1
Italy,40.05,8.866667,N,0,1
Italy,40.05,8.883333,N,0,1
Italy,40.05,9.666667,N,0,1
Italy,40.083333,8.9,N,0,1
Italy,40.1,8.9,N,0,1
Italy,40.133333,8.983333,N,0,1
Italy,40.266667,9.416667,N,0,1
Italy,40.283333,9.5,N,0,1
Italy,40.3,9.55,N,0,1
Italy,40.316667,9.6,N,0,1
Italy,40.466667,9.533333,N,0,1
Italy,40.466667,9.566667,N,0,1
Italy,40.466667,9.583333,N,0,1
Italy,40.5,9.533333,N,0,1
Italy,40.516667,9.583333,N,0,1
Italy,40.533333,9.583333,N,0,1
Italy,40.566667,9.683333,N,0,1
Italy,40.583333,9.65,N,0,1
Italy,40.583333,9.683333,N,0,1
Italy,43.933333,11.1,D,1,1
Italy,40.0666,8.97949999999999,D,1,1
Italy,43.216667,12.916667,N,0,1
Italy,43.4,12.95,N,0,1
Italy,43.916667,11.133333,N,0,1
Italy,43.966667,12.45,N,0,1
Italy,44.016667,10.283333,N,0,1
Italy,44.033333,10.25,N,0,1
Italy,44.033333,10.3,N,0,1
Italy,44.05,10.3,N,0,1
Italy,44.116667,9.766667,N,0,1
Italy,44.15,8.283333,N,0,1
Italy,44.183333,9.716667,N,0,1
Italy,44.216667,8.233333,N,0,1
Italy,44.216667,9.7,N,0,1
Italy,44.283333,7.433333,N,0,1
Italy,44.45,9.083333,N,0,1
Italy,44.4943999999999,11.3492,D,1,1
Italy,44.55,8.983333,N,0,1
Italy,44.633333,8.75,N,0,1
Italy,45.0705999999999,7.68670999999999,D,2,2
Japan,28.3366499999999,129.44734,N,0,8
Japan,24.3324299999999,123.83212,N,0,3
Japan,24.40448,124.18886,N,0,6
Japan,26.49659,127.95084,N,0,8
Kenya,-4.18053299999999,39.419167,D,1,10
